text,created_at,author_handle,author_name,like_count,reply_count,repost_count,uri,sentiment_score,sentiment_label
"No they didn't.
November's election was hacked for the GOP.
November's highly suspect computer results were allowed to stand without any investigation whatsoever by an utterly complicit Democratic Party leadership...",2025-10-17 11:02:34.581000-05:00,johnbgilman.bsky.social,@JohnBGilman.bsky.social,0,0,0,at://did:plc:5elorgsexuueze4i2ymlq2qz/app.bsky.feed.post/3m3fnie3i2c2j,0,Neutral
NEWS: St. Albert Gazette Election Q&A: Jared Eglinski,2025-10-17 11:02:18-05:00,stalbertgazette.bsky.social,St. Albert Gazette,0,0,0,at://did:plc:ovolbiqfhtzzlv5nkfelnykl/app.bsky.feed.post/3m3fnhuuzgs2f,0,Neutral
"No I’m saying both sides of the Left have issues that would benefit from an overhaul. And so far everyone responding to my initial comment is proving my points. If you are hoping Pelosi loses her re-election bid, then hurray! We agree on something!",2025-10-17 11:02:16.936000-05:00,clinkjet.bsky.social,Unknown,0,0,0,at://did:plc:unexel354qjyfmcd56f2wk2w/app.bsky.feed.post/3m3fnhtaxms2a,0,Neutral
"If you're not registered to vote, your application must be received by October 25th to be eligible for the upcoming election. On the ballot: mayor, city comptroller, public advocate, borough presidents and more. Help shape the city you want to see: learn more at nycvotes.org",2025-10-17 11:02:10.642941297-05:00,citymeals.bsky.social,Citymeals on Wheels,0,0,0,at://did:plc:2cfxxvnd3zw7aylsn5benjk6/app.bsky.feed.post/3m3fnhot5wc2y,0,Neutral
I’m thinking that Trump is not worried about breaking the constitution or his corrupt policies involving gaining monies for his family . If he loses the next election.. he will be tried again so I don’t believe he is ever intending to give up his power as a president or at that point a dictatorship.,2025-10-17 11:01:53.226000-05:00,dmlentz.bsky.social,Unknown,0,0,0,at://did:plc:xuekdxage6raskupt7xtje2m/app.bsky.feed.post/3m3fnh4nfdc2y,-2,Negative
Reminder! If you want to vote in the NYC election and have to change or update your address... Do it now!,2025-10-17 11:01:47.182000-05:00,azalben.bsky.social,Alex Zalben,0,0,0,at://did:plc:opm7kjzippurg433jh7rt4ax/app.bsky.feed.post/3m3fngwuxxk2k,0,Neutral
Roberto Farinacci just fought me over accusing their barista of election fraud! I could punch a cloud!,2025-10-17 11:01:34.629421-05:00,fascistsfightme.bsky.social,Unknown,0,0,0,at://did:plc:fvb2wbxuwyoinq4muz4utxec/app.bsky.feed.post/3m3fngo6ex326,0,Neutral
"There are only 3 items on my ballot. City council and mileages. Will I be voting? ABSO-FUCKING-LUTELY. 
""Down ballot"" elections are so, so, so, so, so important! Please don't skip this election even if there's nothing ""big"" on your ballot!",2025-10-17 11:01:24.330000-05:00,septimusreviews.com,🎃This is Septimus🎃,0,0,0,at://did:plc:5kmiwzsmmtitrcwwks74e42w/app.bsky.feed.post/3m3fngb3mjs2z,0,Neutral
You can pray that there’s another legitimate election and then hope America has learned that elections have consequences.  It’s either that or violent revolution.,2025-10-17 11:01:05.066000-05:00,grainsofsanity.bsky.social,Unknown,0,0,0,at://did:plc:26xwwf22fokztawg2ycu5oxk/app.bsky.feed.post/3m3fnfopo3c2i,1,Positive
"Prop 50 is our chance to fight back against Trump’s power grab and protect fair representation for our communities.  Join us next Wednesday for a virtual rally on why we need to vote YES on Prop 50 and get out the vote!
 right_arrow   www.mobilize.us/ca-wfp/event...",2025-10-17 11:00:34.892000-05:00,caworkingfamilies.bsky.social,California Working Families Party,1,0,0,at://did:plc:u5mqkglv552rdxkf7qhti2js/app.bsky.feed.post/3m3fnes4kp52h,0,Neutral
"Then, when Trump won the presidential election, the Office of Legal Counsel—operating under Biden—told Smith he couldn’t prosecute Trump as a sitting president.'",2025-10-17 11:00:21.331000-05:00,thecatzpajamas.bsky.social,Unknown,0,0,0,at://did:plc:n7mtlgnk3m2tyjl2nvur3d7a/app.bsky.feed.post/3m3fneeyy4k24,0,Neutral
"Gaines outlines goals, background ahead of election thereminder.com/local-news/... #wearehometownnews",2025-10-17 11:00:18.336000-05:00,reminderpublishing.bsky.social,Unknown,0,0,0,at://did:plc:7w2zlh3kv2xma2y2or353yuy/app.bsky.feed.post/3m3fnec74fl2j,0,Neutral
"This is a preview of what's to come. I predict that House Republicans, with election denial now at the core of party ideology, will simply refuse to cede control of the House even if Democrats win enough seats. We need to prepare. unexemptional.substack.com/p/dont-depen...",2025-10-17 11:00:10.589000-05:00,toddstein.bsky.social,Todd Stein,0,0,0,at://did:plc:5kc53jwkg52micnvkfoluwma/app.bsky.feed.post/3m3fne2r7tk2o,1,Positive
